country,n_obs,min_year,max_year,mean_emissions,trend,adf_pvalue,is_stationary,ols_r2,durbin_watson,has_autocorrelation
Albania,33,1990,2022,1.327969696969697,decreasing,0.7547889337365783,False,0.9250285198316296,1.2454770216023432,True
Algeria,33,1990,2022,3.3777272727272734,increasing,0.3658692879053339,False,0.8016168080313771,1.1473116981516864,True
Angola,33,1990,2022,0.8342424242424241,increasing,0.36281455095348303,False,0.15261898681137476,0.4279630977696358,True
Argentina,33,1990,2022,3.997969696969697,increasing,0.33471972761602026,False,0.8716639253664158,1.0470986155656354,True
Armenia,33,1990,2022,1.5873030303030302,increasing,0.6738904252756597,False,0.9439685902577037,2.3133869111047645,False
Australia,33,1990,2022,17.33472727272727,decreasing,0.7726352997376962,False,0.8804537176591256,0.8755108048348339,True
Austria,33,1990,2022,8.206666666666665,decreasing,0.6827186125283099,False,0.9183412179007923,0.6402430125421562,True
Azerbaijan,33,1990,2022,4.09630303030303,decreasing,0.03978151670534391,True,0.898794063757715,1.3438992421793323,True
Bahrain,33,1990,2022,24.833636363636366,increasing,0.007039794104483179,True,0.6223200921251673,2.729818063422219,True
Bangladesh,33,1990,2022,0.31860606060606056,increasing,0.9987826763277091,False,0.9967366039467842,1.4203604637369052,True
Barbados,33,1990,2022,4.907242424242424,increasing,0.39401368858958136,False,0.7579026139463243,1.1585782004657261,True
Belarus,33,1990,2022,6.618757575757576,decreasing,0.005698017131087348,True,0.9565744253996437,1.0380271028379129,True
Belgium,33,1990,2022,10.78930303030303,decreasing,0.9513784034582979,False,0.9815187537044626,1.3666310296917599,True
Belize,33,1990,2022,1.6927272727272726,increasing,0.9862319170735189,False,0.14219360994614183,1.6230544752220657,False
Benin,33,1990,2022,0.3212727272727272,increasing,0.6043278063372762,False,0.9029192151568108,0.8629332198143124,True
Bhutan,33,1990,2022,1.095,increasing,0.8914260998541071,False,0.9256942645643645,0.6156067386109833,True
Bolivia,33,1990,2022,1.4793030303030303,increasing,0.7947127249202232,False,0.8828866021564925,0.9071332467588856,True
Bosnia and Herzegovina,33,1990,2022,4.356878787878788,increasing,0.8605631659286601,False,0.9596316232715655,1.1971193159506692,True
Botswana,33,1990,2022,2.354909090909091,increasing,0.483004453741034,False,0.7447224816031819,0.880795852272977,True
Brazil,33,1990,2022,2.065606060606061,increasing,0.9562014130921757,False,0.9471120647066581,0.4007663568815311,True
Bulgaria,33,1990,2022,6.555999999999999,decreasing,3.2561497109557276e-05,True,0.6754697660567144,0.7675760135017499,True
Burkina Faso,33,1990,2022,0.13175757575757577,increasing,0.9985762361849431,False,0.9443991753484786,0.5618147091890141,True
Cambodia,33,1990,2022,0.3979696969696969,increasing,0.9960445244138528,False,0.9919017326512091,1.092710245949117,True
Cameroon,33,1990,2022,0.36418181818181816,increasing,0.06909898631799684,False,0.5031965974998049,0.8351686818430132,True
Canada,33,1990,2022,16.459121212121214,decreasing,0.9792337073050027,False,0.7893146297023637,0.40228438447181664,True
Chad,33,1990,2022,0.09842424242424243,increasing,0.8933843594316624,False,0.9042067587145302,0.8186819509205739,True
Chile,33,1990,2022,3.7967575757575758,increasing,0.42675876754423736,False,0.9548083912976257,0.8867043790848262,True
China,33,1990,2022,4.94069696969697,increasing,0.9344607391107922,False,0.9966828604772413,0.8952075094350231,True
Colombia,33,1990,2022,1.6836666666666669,decreasing,0.07311103532811224,False,0.8345504165271354,1.6471143687541154,False
Costa Rica,33,1990,2022,1.4786060606060605,increasing,0.036034530036842,True,0.8096999787567689,1.345636964410481,True
Cote d'Ivoire,33,1990,2022,0.3738181818181818,increasing,0.07870238816005681,False,0.1270638694000107,0.968502306304211,True
Croatia,33,1990,2022,4.524333333333334,decreasing,0.058732762526299394,False,0.9433488905263308,1.2183482333708582,True
Cuba,33,1990,2022,2.2828181818181816,decreasing,0.08183403168449044,False,0.6556058746843754,0.9402707107928214,True
Cyprus,33,1990,2022,6.705,decreasing,0.8274145995323892,False,0.9350183402151528,1.1863865570276129,True
Czechia,33,1990,2022,11.651787878787879,decreasing,0.19486877063526337,False,0.9531058031882685,0.9268275436037176,True
Denmark,33,1990,2022,9.181666666666665,decreasing,0.9878812293542243,False,0.9888409955118844,1.424024256386874,True
Djibouti,33,1990,2022,0.4738787878787879,decreasing,0.015405373949589875,True,0.20326687645145536,1.2162835633915323,True
Dominican Republic,33,1990,2022,2.0699090909090905,increasing,0.4944765527484876,False,0.9106587350735488,1.4698924736355687,True
Ecuador,33,1990,2022,2.1027272727272726,increasing,0.03515567001253385,True,0.7422877998382464,2.258430837442302,False
El Salvador,33,1990,2022,0.9648181818181819,increasing,8.925337826966374e-05,True,0.9122359203170202,1.6643164978335931,False
Equatorial Guinea,33,1990,2022,3.8914545454545455,increasing,0.20397228513042037,False,0.6608640213562589,0.33362881837718006,True
Eritrea,33,1990,2022,0.24718181818181817,decreasing,0.4158216104119986,False,0.9372470330538702,1.3653597950370047,True
Estonia,33,1990,2022,13.012151515151515,decreasing,0.004222283706863552,True,0.9237375106698704,1.0472722199577114,True
Ethiopia,33,1990,2022,0.08227272727272728,increasing,0.9956579396613234,False,0.9711438646879975,1.3661932751397179,True
Fiji,33,1990,2022,1.1523030303030302,increasing,0.35097981126985367,False,0.7277727969903898,1.5905671471137608,False
Finland,33,1990,2022,10.520484848484847,decreasing,0.991092009021187,False,0.9535514185062434,1.3233294849567696,True
France,33,1990,2022,6.095393939393939,decreasing,0.9773500436011912,False,0.9779276280053337,0.9957554019332746,True
Gabon,33,1990,2022,3.7391818181818186,decreasing,0.5418467838849138,False,0.9205796191572957,1.3465896313175636,True
Georgia,33,1990,2022,1.8166060606060606,increasing,0.8668485760610904,False,0.9366619468946515,1.3452598718278406,True
Germany,33,1990,2022,10.458454545454545,decreasing,0.9846136155931289,False,0.9708361135973763,0.8039032551251665,True
Ghana,33,1990,2022,0.3686060606060606,increasing,0.9990809051430722,False,0.92251982502121,1.1701039470501982,True
Greece,33,1990,2022,8.291848484848485,decreasing,0.9883508700377143,False,0.9384715499408163,0.5867357164109969,True
Grenada,33,1990,2022,2.009242424242424,increasing,0.005154252711104805,True,0.9488913507146656,1.5790594648479082,False
Guatemala,33,1990,2022,0.8269393939393939,increasing,0.5342611979115037,False,0.8547588100224546,0.6038665893503349,True
Guinea-Bissau,33,1990,2022,0.08596969696969697,increasing,0.92573103763956,False,0.7604304903182657,0.8046328241564197,True
Guyana,33,1990,2022,2.4946363636363635,increasing,0.9987000920593274,False,0.8996977465484086,1.3532471154566545,True
Haiti,33,1990,2022,0.2003030303030303,increasing,0.7567735769913438,False,0.9263164174311053,0.7688417394193553,True
Honduras,33,1990,2022,0.8874242424242423,increasing,0.3163601438645294,False,0.9406594273942426,1.480160423174156,True
Hungary,33,1990,2022,5.542545454545455,decreasing,0.26175667740882413,False,0.9548784059497797,1.1903503571852188,True
Iceland,33,1990,2022,10.092909090909092,increasing,0.4598651581051928,False,0.6908225496357752,0.46736746560537307,True
India,33,1990,2022,1.227272727272727,increasing,0.991470876883119,False,0.9977057883050658,1.2896153655537825,True
Indonesia,33,1990,2022,1.642787878787879,increasing,0.9989383550268028,False,0.972750499790454,2.0451206929791037,False
Iraq,33,1990,2022,3.723121212121212,increasing,0.29246636585807295,False,0.6710043223802876,1.3737900282104711,True
Ireland,33,1990,2022,9.591121212121212,decreasing,0.9652081175753632,False,0.9861206961733344,1.223487136847447,True
Israel,33,1990,2022,8.546484848484848,decreasing,0.7430009116250774,False,0.9610163275597199,0.98869393443066,True
Italy,33,1990,2022,7.216424242424243,decreasing,0.9443558071057241,False,0.9534851102831532,0.4058750452798034,True
Jamaica,33,1990,2022,3.360818181818182,decreasing,0.5310316830567838,False,0.9226675769324898,1.8964174641239107,False
Japan,33,1990,2022,9.551060606060606,decreasing,0.9109470874057836,False,0.5959603810909846,0.4488972312167582,True
Jordan,33,1990,2022,2.794787878787879,decreasing,0.8796873279048298,False,0.9200633770501183,1.1929115627946683,True
Kazakhstan,33,1990,2022,12.962606060606062,decreasing,0.08925740724609121,False,0.6917293388513626,0.6345867699784459,True
Kenya,33,1990,2022,0.29096969696969693,increasing,0.9261080304582772,False,0.5297660075557935,0.473572899256157,True
Kiribati,33,1990,2022,0.44645454545454544,increasing,0.4065002681674279,False,0.8292222112423119,1.3048237005492278,True
Kuwait,33,1990,2022,37.85581818181818,increasing,2.763509610899325e-07,True,0.46537104629903236,2.6377623188990875,True
Latvia,33,1990,2022,3.927909090909091,decreasing,3.925297886147627e-09,True,0.9802340671597649,1.2236693800566534,True
Lebanon,33,1990,2022,3.566030303030303,increasing,0.07037769015413411,False,0.9196949920922048,1.2479677759823433,True
Lesotho,33,1990,2022,1.003969696969697,increasing,0.9888853855374257,False,0.5733025031301633,1.3795454412867851,True
Libya,33,1990,2022,9.15460606060606,decreasing,0.0006808486821732431,True,0.8099009430454547,1.2879872816460793,True
Lithuania,33,1990,2022,4.731636363636364,decreasing,0.00032487465221528244,True,0.8596937157092126,0.6021452249278789,True
Luxembourg,33,1990,2022,21.305606060606063,decreasing,0.4911449517076402,False,0.9145694066150112,0.149995302769866,True
Madagascar,33,1990,2022,0.10372727272727272,increasing,0.6359331570733755,False,0.8186914051703668,1.195370209497165,True
Malaysia,33,1990,2022,6.294757575757575,increasing,0.3544845916780316,False,0.9687205023939316,1.1094581343098215,True
Malta,33,1990,2022,5.68969696969697,decreasing,0.8946667491829812,False,0.9621141042540109,1.3206061572193981,True
Mauritius,33,1990,2022,2.5508484848484843,increasing,0.275924426093608,False,0.9957544431872499,1.5228505063323339,False
Mexico,33,1990,2022,3.9658787878787876,decreasing,0.7740147661595604,False,0.9274200709302519,0.839366065922608,True
Moldova,33,1990,2022,2.0301515151515153,decreasing,4.7013320177101846e-08,True,0.9806956583665095,1.6752969224251528,False
Mongolia,33,1990,2022,6.6016969696969685,increasing,0.9818983443047464,False,0.8687081768606609,1.0518436572439118,True
Montenegro,33,1990,2022,3.177848484848485,increasing,0.7393049339652988,False,0.7540778658068494,1.4631020392980234,True
Morocco,33,1990,2022,1.4334848484848486,increasing,0.14357173674703239,False,0.9887046389625874,0.9189859904227105,True
Mozambique,33,1990,2022,0.13599999999999998,increasing,0.9283572951864586,False,0.7777790384941605,1.0011269289180826,True
Myanmar,33,1990,2022,0.28860606060606064,increasing,0.9499946818451536,False,0.9190468104987711,1.3964244062850852,True
Namibia,33,1990,2022,1.1755151515151516,increasing,0.7244745483120213,False,0.8523614401288069,1.6800023248234122,False
Nepal,33,1990,2022,0.20312121212121212,increasing,0.9816074900255175,False,0.9624440770280649,0.6712656754273019,True
Netherlands,33,1990,2022,10.227030303030302,decreasing,1.0,False,0.9764988658160997,1.0584888530923322,True
New Zealand,33,1990,2022,7.933484848484849,decreasing,0.9695320466215014,False,0.422804877119752,0.3154640836754714,True
Nicaragua,33,1990,2022,0.731,increasing,0.14980009214149453,False,0.6078290783527411,0.39790845259448965,True
Niger,33,1990,2022,0.07651515151515151,increasing,0.8891949511355284,False,0.7887079161704164,1.0941486067246207,True
Nigeria,33,1990,2022,0.6312727272727273,increasing,0.048586392449276726,True,0.06263572454876054,0.7089025660939653,True
North Macedonia,33,1990,2022,4.019757575757575,decreasing,8.75299324413018e-06,True,0.4238286655227982,1.2698404125327267,True
Norway,33,1990,2022,8.84590909090909,decreasing,0.9380120726184001,False,0.6165941136238976,0.9117505333762063,True
Oman,33,1990,2022,13.096545454545454,increasing,0.5660210211512084,False,0.9163078455622292,0.6878571613378579,True
Pakistan,33,1990,2022,0.7296060606060606,increasing,0.16944974361548631,False,0.8193445602621374,1.0446685913707274,True
Panama,33,1990,2022,2.0500606060606055,increasing,0.46399681858269437,False,0.8780082088036764,1.1497665053798887,True
Paraguay,33,1990,2022,0.8641818181818182,increasing,0.6286761898656281,False,0.9548616242798801,0.9802544307274439,True
Peru,33,1990,2022,1.2815757575757576,increasing,0.9824969147964974,False,0.9507620360474235,1.2409777947725211,True
Philippines,33,1990,2022,0.9174545454545454,increasing,0.9660413579280628,False,0.9780223572141439,1.4281099137038649,True
Poland,33,1990,2022,8.74690909090909,decreasing,0.19807842973867507,False,0.878203416945502,0.6903422383302047,True
Portugal,33,1990,2022,5.300545454545455,decreasing,0.8397818026228212,False,0.9520595965348193,0.7426407165285569,True
Qatar,33,1990,2022,50.62439393939395,increasing,0.31000948754203006,False,0.6634617733742503,0.6792554326897295,True
Romania,33,1990,2022,4.709939393939394,decreasing,0.17774743271997578,False,0.9713937479050972,1.3010376949128246,True
Rwanda,33,1990,2022,0.07351515151515152,increasing,1.0,False,0.8032219985337283,1.1798599365827906,True
Samoa,33,1990,2022,0.8903333333333332,increasing,0.6952567600865357,False,0.9447134041640929,1.7886370133633946,False
Saudi Arabia,33,1990,2022,20.33357575757576,increasing,0.13748386970003373,False,0.35103114168128113,0.7183926416513107,True
Senegal,33,1990,2022,0.5033939393939394,increasing,0.9463121382670949,False,0.8689230585168164,1.0172228326678863,True
Serbia,33,1990,2022,6.097424242424243,decreasing,0.013570860086729586,True,0.8353860840973287,1.2251878216940504,True
Singapore,33,1990,2022,10.475333333333335,decreasing,0.024226974899118132,True,0.7379525095654657,1.221503877064114,True
Slovenia,33,1990,2022,7.571424242424243,decreasing,0.8865170286439741,False,0.9385231212144428,1.12193028817901,True
Solomon Islands,33,1990,2022,0.5111515151515151,decreasing,0.9468445124692014,False,0.8206869336365188,0.48903584696695745,True
South Africa,33,1990,2022,8.141121212121213,decreasing,0.591890901692734,False,0.8900347835872319,1.2425979183898417,True
South Sudan,33,1990,2022,0.11372727272727275,increasing,0.7821540015359933,False,0.8852130890884251,0.832439460103732,True
Spain,33,1990,2022,6.430636363636364,decreasing,0.8880423172061063,False,0.9805695927334072,1.291693922684782,True
Sri Lanka,33,1990,2022,0.6003030303030302,increasing,0.772896254657589,False,0.9686927096391416,1.0956841367736887,True
Sudan,33,1990,2022,0.3176666666666667,increasing,0.6901702247278959,False,0.8089651717723777,1.0569265623471975,True
Suriname,33,1990,2022,4.321575757575758,increasing,0.20676077502812612,False,0.84988283427782,1.1041098539348675,True
Sweden,33,1990,2022,5.554787878787879,decreasing,0.9946716536680388,False,0.9782237922436119,1.3241115802670393,True
Switzerland,33,1990,2022,5.577636363636364,decreasing,0.9967435277339747,False,0.9812138036754232,2.1253079527579457,False
Tajikistan,33,1990,2022,0.6357272727272727,decreasing,7.604757974382136e-07,True,0.9814305389933159,1.4890390066995083,True
Tanzania,33,1990,2022,0.15406060606060606,increasing,0.9949356607407063,False,0.9643232329180597,1.049829702713098,True
Thailand,33,1990,2022,3.150212121212121,increasing,0.06022096286549332,False,0.9626992900851937,0.5075407023210629,True
Togo,33,1990,2022,0.27430303030303027,increasing,0.0004912061994990369,True,0.4489903797515671,1.216839163031827,True
Tonga,33,1990,2022,1.0543636363636364,increasing,0.850610517613516,False,0.6650787196170413,1.3814387245461006,True
Tunisia,33,1990,2022,2.2559090909090913,increasing,0.025022973718644384,True,0.9204338933086242,0.9395414064269167,True
Turkmenistan,33,1990,2022,9.329212121212121,increasing,0.7867798529386612,False,0.8941633737647651,1.0518277854806204,True
Uganda,33,1990,2022,0.08363636363636363,increasing,0.930334582968108,False,0.960178667454208,0.8773269251958759,True
Ukraine,33,1990,2022,6.742666666666666,decreasing,0.00033303213495108886,True,0.9639942400715542,1.27345317158407,True
United Arab Emirates,33,1990,2022,25.809939393939395,decreasing,0.6986635577115297,False,0.47151231590734,1.406362105701105,True
United Kingdom,33,1990,2022,8.291151515151515,decreasing,0.9984310202079735,False,0.9874929707954498,1.074551115783114,True
United States,33,1990,2022,18.674636363636363,decreasing,0.9959160697208791,False,0.995266089133722,1.1754440856015083,True
Uruguay,33,1990,2022,1.8425757575757578,increasing,0.14442544097763854,False,0.6026191763967932,0.6189680958564332,True
Uzbekistan,33,1990,2022,4.333121212121212,decreasing,0.9644763645992296,False,0.8917416080164413,0.9979460243251539,True
Zambia,33,1990,2022,0.287060606060606,increasing,0.9951793714188206,False,0.9671460272776218,1.3560788522213825,True
Zimbabwe,33,1990,2022,0.9735757575757575,decreasing,0.46243532074511273,False,0.9329140872129676,1.0908654198096528,True
